transmittance,probability_density
3.152e-01,0.000e+00
3.186e-01,0.000e+00
3.220e-01,0.000e+00
3.255e-01,0.000e+00
3.289e-01,0.000e+00
3.323e-01,0.000e+00
3.358e-01,0.000e+00
3.392e-01,0.000e+00
3.426e-01,0.000e+00
3.461e-01,0.000e+00
3.495e-01,0.000e+00
3.529e-01,0.000e+00
3.564e-01,0.000e+00
3.598e-01,0.000e+00
3.632e-01,0.000e+00
3.667e-01,0.000e+00
3.701e-01,0.000e+00
3.735e-01,0.000e+00
3.770e-01,0.000e+00
3.804e-01,0.000e+00
3.838e-01,0.000e+00
3.873e-01,0.000e+00
3.907e-01,0.000e+00
3.941e-01,0.000e+00
3.976e-01,0.000e+00
4.010e-01,0.000e+00
4.044e-01,0.000e+00
4.079e-01,0.000e+00
4.113e-01,0.000e+00
4.147e-01,0.000e+00
4.182e-01,0.000e+00
4.216e-01,0.000e+00
4.250e-01,0.000e+00
4.285e-01,0.000e+00
4.319e-01,0.000e+00
4.353e-01,0.000e+00
4.387e-01,0.000e+00
4.422e-01,0.000e+00
4.456e-01,0.000e+00
4.490e-01,0.000e+00
4.525e-01,0.000e+00
4.559e-01,0.000e+00
4.593e-01,0.000e+00
4.628e-01,0.000e+00
4.662e-01,0.000e+00
4.696e-01,0.000e+00
4.731e-01,2.913e-03
4.765e-01,0.000e+00
4.799e-01,0.000e+00
4.834e-01,2.913e-03
4.868e-01,0.000e+00
4.902e-01,0.000e+00
4.937e-01,0.000e+00
4.971e-01,0.000e+00
5.005e-01,2.913e-03
5.040e-01,0.000e+00
5.074e-01,0.000e+00
5.108e-01,0.000e+00
5.143e-01,0.000e+00
5.177e-01,0.000e+00
5.211e-01,2.913e-03
5.246e-01,0.000e+00
5.280e-01,0.000e+00
5.314e-01,0.000e+00
5.349e-01,2.913e-03
5.383e-01,0.000e+00
5.417e-01,0.000e+00
5.452e-01,2.913e-03
5.486e-01,0.000e+00
5.520e-01,2.913e-03
5.555e-01,2.913e-03
5.589e-01,2.913e-03
5.623e-01,2.913e-03
5.658e-01,0.000e+00
5.692e-01,2.913e-03
5.726e-01,0.000e+00
5.761e-01,2.913e-03
5.795e-01,0.000e+00
5.829e-01,2.913e-03
5.864e-01,5.827e-03
5.898e-01,2.913e-03
5.932e-01,2.913e-03
5.967e-01,0.000e+00
6.001e-01,8.740e-03
6.035e-01,2.913e-03
6.070e-01,5.827e-03
6.104e-01,5.827e-03
6.138e-01,2.913e-03
6.173e-01,8.740e-03
6.207e-01,5.827e-03
6.241e-01,2.913e-03
6.275e-01,5.827e-03
6.310e-01,1.457e-02
6.344e-01,1.165e-02
6.378e-01,5.827e-03
6.413e-01,5.827e-03
6.447e-01,5.827e-03
6.481e-01,8.740e-03
6.516e-01,1.165e-02
6.550e-01,8.740e-03
6.584e-01,8.740e-03
6.619e-01,1.748e-02
6.653e-01,1.748e-02
6.687e-01,8.740e-03
6.722e-01,5.827e-03
6.756e-01,8.740e-03
6.790e-01,1.748e-02
6.825e-01,1.748e-02
6.859e-01,1.457e-02
6.893e-01,2.039e-02
6.928e-01,2.622e-02
6.962e-01,3.205e-02
6.996e-01,2.622e-02
7.031e-01,1.748e-02
7.065e-01,2.331e-02
7.099e-01,4.953e-02
7.134e-01,3.787e-02
7.168e-01,4.370e-02
7.202e-01,4.661e-02
7.237e-01,4.079e-02
7.271e-01,5.827e-02
7.305e-01,4.661e-02
7.340e-01,4.370e-02
7.374e-01,6.409e-02
7.408e-01,5.827e-02
7.443e-01,5.244e-02
7.477e-01,6.409e-02
7.511e-01,9.323e-02
7.546e-01,1.165e-01
7.580e-01,8.740e-02
7.614e-01,1.282e-01
7.649e-01,1.107e-01
7.683e-01,1.107e-01
7.717e-01,1.020e-01
7.752e-01,1.194e-01
7.786e-01,9.031e-02
7.820e-01,1.428e-01
7.855e-01,1.865e-01
7.889e-01,1.631e-01
7.923e-01,1.923e-01
7.958e-01,2.272e-01
7.992e-01,1.602e-01
8.026e-01,2.389e-01
8.061e-01,2.622e-01
8.095e-01,2.535e-01
8.129e-01,2.855e-01
8.163e-01,2.855e-01
8.198e-01,3.409e-01
8.232e-01,3.904e-01
8.266e-01,4.283e-01
8.301e-01,4.312e-01
8.335e-01,5.011e-01
8.369e-01,4.720e-01
8.404e-01,5.506e-01
8.438e-01,5.710e-01
8.472e-01,6.817e-01
8.507e-01,8.070e-01
8.541e-01,7.021e-01
8.575e-01,8.682e-01
8.610e-01,9.760e-01
8.644e-01,1.011e+00
8.678e-01,1.075e+00
8.713e-01,1.087e+00
8.747e-01,1.215e+00
8.781e-01,1.369e+00
8.816e-01,1.550e+00
8.850e-01,1.602e+00
8.884e-01,1.716e+00
8.919e-01,1.812e+00
8.953e-01,2.112e+00
8.987e-01,2.319e+00
9.022e-01,2.377e+00
9.056e-01,2.680e+00
9.090e-01,2.820e+00
9.125e-01,3.234e+00
9.159e-01,3.426e+00
9.193e-01,3.831e+00
9.228e-01,3.971e+00
9.262e-01,4.717e+00
9.296e-01,4.979e+00
9.331e-01,5.503e+00
9.365e-01,5.812e+00
9.399e-01,6.383e+00
9.434e-01,7.205e+00
9.468e-01,7.540e+00
9.502e-01,8.294e+00
9.537e-01,9.337e+00
9.571e-01,9.990e+00
9.605e-01,1.035e+01
9.640e-01,1.192e+01
9.674e-01,1.327e+01
9.708e-01,1.395e+01
9.743e-01,1.498e+01
9.777e-01,1.586e+01
9.811e-01,1.659e+01
9.846e-01,1.708e+01
9.880e-01,1.765e+01
9.914e-01,1.677e+01
9.949e-01,1.447e+01
9.983e-01,7.330e+00
