transmittance,probability_density
2.500e-03,0.000e+00
7.500e-03,0.000e+00
1.250e-02,0.000e+00
1.750e-02,0.000e+00
2.250e-02,0.000e+00
2.750e-02,0.000e+00
3.250e-02,0.000e+00
3.750e-02,0.000e+00
4.250e-02,0.000e+00
4.750e-02,0.000e+00
5.250e-02,0.000e+00
5.750e-02,0.000e+00
6.250e-02,0.000e+00
6.750e-02,0.000e+00
7.250e-02,8.000e-03
7.750e-02,0.000e+00
8.250e-02,0.000e+00
8.750e-02,4.000e-03
9.250e-02,2.000e-03
9.750e-02,0.000e+00
1.025e-01,2.000e-03
1.075e-01,2.000e-03
1.125e-01,2.000e-03
1.175e-01,6.000e-03
1.225e-01,6.000e-03
1.275e-01,1.000e-02
1.325e-01,4.000e-03
1.375e-01,1.800e-02
1.425e-01,4.000e-03
1.475e-01,6.000e-03
1.525e-01,1.400e-02
1.575e-01,1.400e-02
1.625e-01,1.200e-02
1.675e-01,6.000e-03
1.725e-01,2.200e-02
1.775e-01,1.600e-02
1.825e-01,1.600e-02
1.875e-01,1.400e-02
1.925e-01,1.600e-02
1.975e-01,1.400e-02
2.025e-01,1.800e-02
2.075e-01,2.000e-02
2.125e-01,3.600e-02
2.175e-01,2.800e-02
2.225e-01,3.000e-02
2.275e-01,2.000e-02
2.325e-01,3.000e-02
2.375e-01,2.800e-02
2.425e-01,3.800e-02
2.475e-01,3.200e-02
2.525e-01,1.600e-02
2.575e-01,2.800e-02
2.625e-01,5.600e-02
2.675e-01,3.400e-02
2.725e-01,4.200e-02
2.775e-01,5.400e-02
2.825e-01,3.200e-02
2.875e-01,3.600e-02
2.925e-01,4.400e-02
2.975e-01,4.800e-02
3.025e-01,4.600e-02
3.075e-01,7.400e-02
3.125e-01,4.800e-02
3.175e-01,7.200e-02
3.225e-01,8.200e-02
3.275e-01,1.000e-01
3.325e-01,6.800e-02
3.375e-01,8.800e-02
3.425e-01,7.800e-02
3.475e-01,7.400e-02
3.525e-01,7.800e-02
3.575e-01,7.000e-02
3.625e-01,1.060e-01
3.675e-01,9.000e-02
3.725e-01,9.600e-02
3.775e-01,1.100e-01
3.825e-01,9.400e-02
3.875e-01,1.160e-01
3.925e-01,1.060e-01
3.975e-01,1.080e-01
4.025e-01,1.280e-01
4.075e-01,1.280e-01
4.125e-01,1.340e-01
4.175e-01,1.180e-01
4.225e-01,1.380e-01
4.275e-01,1.160e-01
4.325e-01,1.440e-01
4.375e-01,1.660e-01
4.425e-01,1.700e-01
4.475e-01,1.420e-01
4.525e-01,2.120e-01
4.575e-01,2.160e-01
4.625e-01,1.860e-01
4.675e-01,2.040e-01
4.725e-01,1.780e-01
4.775e-01,2.100e-01
4.825e-01,2.600e-01
4.875e-01,2.200e-01
4.925e-01,2.440e-01
4.975e-01,2.400e-01
5.025e-01,2.880e-01
5.075e-01,2.920e-01
5.125e-01,3.220e-01
5.175e-01,2.680e-01
5.225e-01,3.260e-01
5.275e-01,3.240e-01
5.325e-01,3.300e-01
5.375e-01,3.760e-01
5.425e-01,3.560e-01
5.475e-01,4.120e-01
5.525e-01,4.120e-01
5.575e-01,4.300e-01
5.625e-01,3.620e-01
5.675e-01,4.680e-01
5.725e-01,4.840e-01
5.775e-01,4.280e-01
5.825e-01,5.160e-01
5.875e-01,5.960e-01
5.925e-01,5.680e-01
5.975e-01,6.580e-01
6.025e-01,6.400e-01
6.075e-01,7.020e-01
6.125e-01,6.320e-01
6.175e-01,7.300e-01
6.225e-01,8.220e-01
6.275e-01,8.280e-01
6.325e-01,8.380e-01
6.375e-01,8.520e-01
6.425e-01,9.380e-01
6.475e-01,9.940e-01
6.525e-01,9.600e-01
6.575e-01,1.056e+00
6.625e-01,1.252e+00
6.675e-01,1.178e+00
6.725e-01,1.284e+00
6.775e-01,1.364e+00
6.825e-01,1.472e+00
6.875e-01,1.582e+00
6.925e-01,1.622e+00
6.975e-01,1.784e+00
7.025e-01,1.724e+00
7.075e-01,2.032e+00
7.125e-01,2.106e+00
7.175e-01,2.088e+00
7.225e-01,2.338e+00
7.275e-01,2.514e+00
7.325e-01,2.682e+00
7.375e-01,2.948e+00
7.425e-01,3.122e+00
7.475e-01,3.254e+00
7.525e-01,3.664e+00
7.575e-01,3.596e+00
7.625e-01,3.970e+00
7.675e-01,4.144e+00
7.725e-01,4.756e+00
7.775e-01,5.114e+00
7.825e-01,5.284e+00
7.875e-01,5.732e+00
7.925e-01,6.286e+00
7.975e-01,6.372e+00
8.025e-01,6.734e+00
8.075e-01,6.822e+00
8.125e-01,7.416e+00
8.175e-01,7.482e+00
8.225e-01,7.686e+00
8.275e-01,7.782e+00
8.325e-01,7.056e+00
8.375e-01,7.232e+00
8.425e-01,6.820e+00
8.475e-01,6.210e+00
8.525e-01,5.296e+00
8.575e-01,4.416e+00
8.625e-01,3.480e+00
8.675e-01,2.448e+00
8.725e-01,1.712e+00
8.775e-01,9.740e-01
8.825e-01,4.820e-01
8.875e-01,2.320e-01
8.925e-01,7.600e-02
8.975e-01,2.400e-02
9.025e-01,2.000e-03
9.075e-01,0.000e+00
9.125e-01,0.000e+00
9.175e-01,0.000e+00
9.225e-01,0.000e+00
9.275e-01,0.000e+00
9.325e-01,0.000e+00
9.375e-01,0.000e+00
9.425e-01,0.000e+00
9.475e-01,0.000e+00
9.525e-01,0.000e+00
9.575e-01,0.000e+00
9.625e-01,0.000e+00
9.675e-01,0.000e+00
9.725e-01,0.000e+00
9.775e-01,0.000e+00
9.825e-01,0.000e+00
9.875e-01,0.000e+00
9.925e-01,0.000e+00
9.975e-01,0.000e+00
